episode_step	action	reward	q_value	done	state_time_norm	state_queue_norm	state_wait_norm	state_density_norm	state_speed_norm	state_flow_norm	next_state_time_norm	next_state_queue_norm	next_state_wait_norm	next_state_density_norm	next_state_speed_norm	next_state_flow_norm
73	0	3.376119	0.337275	False	1.000000	1.000000	0.017000	0.146700	1.000000	0.016700	1.000000	1.000000	0.016900	0.144200	1.000000	0.016700
74	0	3.156584	0.315343	False	1.000000	1.000000	0.016900	0.144200	1.000000	0.016700	1.000000	1.000000	0.017300	0.139200	1.000000	0.016700
75	0	3.355271	0.335192	False	1.000000	1.000000	0.017300	0.139200	1.000000	0.016700	1.000000	1.000000	0.017300	0.138500	1.000000	0.016700
76	0	3.108562	0.310546	False	1.000000	1.000000	0.017300	0.138500	1.000000	0.016700	1.000000	1.000000	0.017500	0.137100	1.000000	0.016700
77	0	3.129832	0.312671	False	1.000000	1.000000	0.017500	0.137100	1.000000	0.016700	1.000000	1.000000	0.017500	0.141700	1.000000	0.016700
78	0	3.006303	0.300330	False	1.000000	1.000000	0.017500	0.141700	1.000000	0.016700	1.000000	1.000000	0.017600	0.142600	1.000000	0.016700
79	0	2.843417	0.284058	False	1.000000	1.000000	0.017600	0.142600	1.000000	0.016700	1.000000	1.000000	0.017800	0.142800	1.000000	0.016700
80	0	2.342324	0.233998	False	1.000000	1.000000	0.017800	0.142800	1.000000	0.016700	1.000000	1.000000	0.017900	0.136600	1.000000	0.016700
81	0	2.360212	0.235785	False	1.000000	1.000000	0.017900	0.136600	1.000000	0.016700	1.000000	1.000000	0.018100	0.134400	1.000000	0.016700
82	0	2.361013	0.235865	False	1.000000	1.000000	0.018100	0.134400	1.000000	0.016700	1.000000	1.000000	0.018200	0.132000	1.000000	0.016700
83	3	2.377390	0.237501	False	1.000000	1.000000	0.018200	0.132000	1.000000	0.016700	1.000000	1.000000	0.018300	0.134800	1.000000	0.033300
84	0	1.887249	0.188536	False	1.000000	1.000000	0.018300	0.134800	1.000000	0.033300	1.000000	1.000000	0.018300	0.134500	1.000000	0.016700
85	0	1.810134	0.180833	False	1.000000	1.000000	0.018300	0.134500	1.000000	0.016700	1.000000	1.000000	0.018500	0.134300	1.000000	0.016700
86	0	2.135697	0.213356	False	1.000000	1.000000	0.018500	0.134300	1.000000	0.016700	1.000000	1.000000	0.018400	0.139400	1.000000	0.016700
87	0	2.351568	0.234922	False	1.000000	1.000000	0.018400	0.139400	1.000000	0.016700	1.000000	1.000000	0.018600	0.139100	1.000000	0.016700
88	0	2.987195	0.298421	False	1.000000	1.000000	0.018600	0.139100	1.000000	0.016700	1.000000	1.000000	0.018800	0.138400	1.000000	0.016700
89	0	3.441890	0.343845	False	1.000000	1.000000	0.018800	0.138400	1.000000	0.016700	1.000000	1.000000	0.019000	0.139800	1.000000	0.016700
90	0	3.928618	0.392469	False	1.000000	1.000000	0.019000	0.139800	1.000000	0.016700	1.000000	1.000000	0.019100	0.137200	1.000000	0.016700
91	0	4.255284	0.425103	False	1.000000	1.000000	0.019100	0.137200	1.000000	0.016700	1.000000	1.000000	0.019200	0.134600	1.000000	0.016700
92	0	4.103265	0.409917	False	1.000000	1.000000	0.019200	0.134600	1.000000	0.016700	1.000000	1.000000	0.019400	0.132500	1.000000	0.016700
93	0	4.713433	0.470872	False	1.000000	1.000000	0.019400	0.132500	1.000000	0.016700	1.000000	1.000000	0.019500	0.126900	1.000000	0.016700
94	0	4.359961	0.435561	False	1.000000	1.000000	0.019500	0.126900	1.000000	0.016700	1.000000	1.000000	0.019400	0.125900	1.000000	0.016700
95	0	4.500504	0.449601	False	1.000000	1.000000	0.019400	0.125900	1.000000	0.016700	1.000000	1.000000	0.019500	0.125000	1.000000	0.016700
96	4	5.067440	0.506238	False	1.000000	1.000000	0.019500	0.125000	1.000000	0.016700	1.000000	1.000000	0.019700	0.124900	1.000000	0.033300
97	0	5.569081	0.556352	False	1.000000	1.000000	0.019700	0.124900	1.000000	0.033300	1.000000	1.000000	0.019700	0.124200	1.000000	0.016700
98	0	5.499261	0.549377	False	1.000000	1.000000	0.019700	0.124200	1.000000	0.016700	1.000000	1.000000	0.019800	0.124500	1.000000	0.016700
99	0	5.958315	0.595236	False	1.000000	1.000000	0.019800	0.124500	1.000000	0.016700	1.000000	1.000000	0.019800	0.122600	1.000000	0.016700
100	0	6.290902	0.628462	False	1.000000	1.000000	0.019800	0.122600	1.000000	0.016700	1.000000	1.000000	0.020000	0.121800	1.000000	0.016700
101	0	6.954280	0.694733	False	1.000000	1.000000	0.020000	0.121800	1.000000	0.016700	1.000000	1.000000	0.019900	0.122600	1.000000	0.016700
102	1	7.720131	0.771242	False	1.000000	1.000000	0.019900	0.122600	1.000000	0.016700	1.000000	1.000000	0.020200	0.122300	1.000000	0.016700
103	0	8.248233	0.823999	False	1.000000	1.000000	0.020200	0.122300	1.000000	0.016700	1.000000	1.000000	0.020100	0.124500	1.000000	0.016700
104	0	8.640895	0.863226	False	1.000000	1.000000	0.020100	0.124500	1.000000	0.016700	1.000000	1.000000	0.020300	0.123800	1.000000	0.016700
105	0	8.886223	0.887735	False	1.000000	1.000000	0.020300	0.123800	1.000000	0.016700	1.000000	1.000000	0.020300	0.124400	1.000000	0.016700
106	0	9.338488	0.932916	False	1.000000	1.000000	0.020300	0.124400	1.000000	0.016700	1.000000	1.000000	0.020400	0.127000	1.000000	0.016700
107	0	10.063236	1.005318	False	1.000000	1.000000	0.020400	0.127000	1.000000	0.016700	1.000000	1.000000	0.020500	0.122500	1.000000	0.016700
108	0	10.268047	1.025779	False	1.000000	1.000000	0.020500	0.122500	1.000000	0.016700	1.000000	1.000000	0.020600	0.116100	1.000000	0.016700
109	0	10.508082	1.049758	False	1.000000	1.000000	0.020600	0.116100	1.000000	0.016700	1.000000	1.000000	0.020600	0.114200	1.000000	0.016700
110	0	10.844793	1.083396	False	1.000000	1.000000	0.020600	0.114200	1.000000	0.016700	1.000000	1.000000	0.020800	0.111600	1.000000	0.016700
111	0	11.373196	1.136183	False	1.000000	1.000000	0.020800	0.111600	1.000000	0.016700	1.000000	1.000000	0.020800	0.110400	1.000000	0.016700
112	0	11.775714	1.176395	False	1.000000	1.000000	0.020800	0.110400	1.000000	0.016700	1.000000	1.000000	0.020900	0.111400	1.000000	0.016700
113	0	12.171298	1.215914	False	1.000000	1.000000	0.020900	0.111400	1.000000	0.016700	1.000000	1.000000	0.021100	0.112600	1.000000	0.016700
114	0	12.613075	1.260047	False	1.000000	1.000000	0.021100	0.112600	1.000000	0.016700	1.000000	1.000000	0.021200	0.114200	1.000000	0.016700
115	0	13.063599	1.305055	False	1.000000	1.000000	0.021200	0.114200	1.000000	0.016700	1.000000	1.000000	0.021200	0.113200	1.000000	0.016700
116	0	13.060401	1.304735	False	1.000000	1.000000	0.021200	0.113200	1.000000	0.016700	1.000000	1.000000	0.021500	0.108800	1.000000	0.016700
117	0	13.339452	1.332613	False	1.000000	1.000000	0.021500	0.108800	1.000000	0.016700	1.000000	1.000000	0.021600	0.110900	1.000000	0.016700
118	0	13.279043	1.326578	False	1.000000	1.000000	0.021600	0.110900	1.000000	0.016700	1.000000	1.000000	0.021700	0.108100	1.000000	0.016700
119	0	13.492061	1.347858	False	1.000000	1.000000	0.021700	0.108100	1.000000	0.016700	1.000000	1.000000	0.021700	0.110100	1.000000	0.016700
120	0	13.685204	1.367153	False	1.000000	1.000000	0.021700	0.110100	1.000000	0.016700	1.000000	1.000000	0.021800	0.108400	1.000000	0.016700
121	0	13.579741	1.356617	False	1.000000	1.000000	0.021800	0.108400	1.000000	0.016700	1.000000	1.000000	0.021900	0.107500	1.000000	0.016700
122	0	13.854896	1.384105	False	1.000000	1.000000	0.021900	0.107500	1.000000	0.016700	1.000000	1.000000	0.022000	0.103800	1.000000	0.016700
123	0	13.691161	1.367748	False	1.000000	1.000000	0.022000	0.103800	1.000000	0.016700	1.000000	1.000000	0.022200	0.102300	1.000000	0.016700
124	0	14.185506	1.417134	False	1.000000	1.000000	0.022200	0.102300	1.000000	0.016700	1.000000	1.000000	0.022300	0.101000	1.000000	0.016700
125	0	14.017659	1.400366	False	1.000000	1.000000	0.022300	0.101000	1.000000	0.016700	1.000000	1.000000	0.022100	0.101300	1.000000	0.016700
126	0	14.416191	1.440179	False	1.000000	1.000000	0.022100	0.101300	1.000000	0.016700	1.000000	1.000000	0.022300	0.098400	1.000000	0.016700
127	0	14.775316	1.476056	False	1.000000	1.000000	0.022300	0.098400	1.000000	0.016700	1.000000	1.000000	0.022700	0.096600	1.000000	0.016700
128	0	14.956053	1.494111	False	1.000000	1.000000	0.022700	0.096600	1.000000	0.016700	1.000000	1.000000	0.022800	0.096100	1.000000	0.016700
129	0	14.750060	1.473532	False	1.000000	1.000000	0.022800	0.096100	1.000000	0.016700	1.000000	1.000000	0.022800	0.096100	1.000000	0.016700
130	0	14.441308	1.442688	False	1.000000	1.000000	0.022800	0.096100	1.000000	0.016700	1.000000	1.000000	0.023000	0.096600	1.000000	0.016700
131	0	14.366015	1.435166	False	1.000000	1.000000	0.023000	0.096600	1.000000	0.016700	1.000000	1.000000	0.023100	0.098000	1.000000	0.016700
132	1	14.625939	1.461133	False	1.000000	1.000000	0.023100	0.098000	1.000000	0.016700	1.000000	1.000000	0.023100	0.099900	1.000000	0.016700
133	0	14.571517	1.455696	False	1.000000	1.000000	0.023100	0.099900	1.000000	0.016700	1.000000	1.000000	0.023200	0.101000	1.000000	0.016700
134	0	14.727732	1.471302	False	1.000000	1.000000	0.023200	0.101000	1.000000	0.016700	1.000000	1.000000	0.023200	0.099500	1.000000	0.016700
135	0	14.685615	1.467094	False	1.000000	1.000000	0.023200	0.099500	1.000000	0.016700	1.000000	1.000000	0.023100	0.097200	1.000000	0.016700
136	0	14.944340	1.492941	False	1.000000	1.000000	0.023100	0.097200	1.000000	0.016700	1.000000	1.000000	0.023200	0.094700	1.000000	0.016700
137	0	15.342286	1.532696	False	1.000000	1.000000	0.023200	0.094700	1.000000	0.016700	1.000000	1.000000	0.023300	0.094600	1.000000	0.016700
138	0	15.841360	1.582553	False	1.000000	1.000000	0.023300	0.094600	1.000000	0.016700	1.000000	1.000000	0.023300	0.096700	1.000000	0.016700
139	0	15.919569	1.590367	False	1.000000	1.000000	0.023300	0.096700	1.000000	0.016700	1.000000	1.000000	0.023500	0.095100	1.000000	0.016700
140	0	16.132267	1.611615	False	1.000000	1.000000	0.023500	0.095100	1.000000	0.016700	1.000000	1.000000	0.023700	0.094500	1.000000	0.016700
141	0	16.434585	1.641817	False	1.000000	1.000000	0.023700	0.094500	1.000000	0.016700	1.000000	1.000000	0.023800	0.097200	1.000000	0.016700
142	0	16.732983	1.671627	False	1.000000	1.000000	0.023800	0.097200	1.000000	0.016700	1.000000	1.000000	0.023800	0.092000	1.000000	0.016700
143	0	16.560625	1.654408	False	1.000000	1.000000	0.023800	0.092000	1.000000	0.016700	1.000000	1.000000	0.023700	0.097200	1.000000	0.016700
144	0	16.563280	1.813319	False	1.000000	1.000000	0.023700	0.097200	1.000000	0.016700	1.000000	1.000000	0.023800	0.096600	1.000000	0.016700
145	0	16.876107	3.189040	False	1.000000	1.000000	0.023800	0.096600	1.000000	0.016700	1.000000	1.000000	0.023900	0.096200	1.000000	0.016700
146	0	16.838550	1.682173	False	1.000000	1.000000	0.023900	0.096200	1.000000	0.016700	1.000000	1.000000	0.023900	0.095100	1.000000	0.016700
147	0	17.167628	1.715048	False	1.000000	1.000000	0.023900	0.095100	1.000000	0.016700	1.000000	1.000000	0.024000	0.095300	1.000000	0.016700
148	0	17.352335	1.733500	False	1.000000	1.000000	0.024000	0.095300	1.000000	0.016700	1.000000	1.000000	0.024100	0.094700	1.000000	0.016700
149	0	17.254978	3.282550	False	1.000000	1.000000	0.024100	0.094700	1.000000	0.016700	1.000000	1.000000	0.024000	0.096000	1.000000	0.016700
150	0	17.399434	1.738205	False	1.000000	1.000000	0.024000	0.096000	1.000000	0.016700	1.000000	1.000000	0.024300	0.092900	1.000000	0.016700
151	0	17.482199	1.746473	False	1.000000	1.000000	0.024300	0.092900	1.000000	0.016700	1.000000	1.000000	0.024300	0.094400	1.000000	0.016700
